SYMBOL	ENTREZID
UBQLN2	29978
ITGA4	3676
CALM1	801
HMOX2	3163
LINC00649	100506334
FNTA	2339
APEX1	328
C19orf53	28974
RPL23	9349
CORO1A	11151
IMPDH2	3615
CMTM8	152189
ZNF862	643641
FKBP5	2289
RIC3	79608
SATB1	6304
GLG1	2734
TAGAP	117289
LBH	81606
ITGB1	3688
OXA1L	5018
RHOF	54509
ARID5B	84159
BLOC1S4	55330
STK38	11329
MHENCR	100505771
BEX2	84707
VPS51	738
CYTH1	9267
FGD3	89846
EPC1	80314
IL27RA	9466
SMCHD1	23347
ZNF101	94039
TMC8	147138
UXS1	80146
GCC2	9648
PRKCQ	5588
CRBN	51185
C16orf54	283897
CSGALNACT1	55790
GPR183	1880
RASGRP1	10125
GIMAP6	474344
SLC38A1	81539
ALKBH7	84266
PYURF	100996939
ARL4C	10123
EIF2A	83939
CHRM3-AS2	100506915
PSMB8-AS1	100507463
SNRPA	6626
URI1	8725
CNST	163882
DAZAP2	9802
MALAT1	378938
TACC3	10460
UBE2D2	7322
SPTAN1	6709
MLLT3	4300
CYTIP	9595
RETREG1	54463
SRP9	6726
SIGIRR	59307
ATP6V1G1	9550
AAK1	22848
KDSR	2531
CRLF3	51379
MRPS21	54460
MT-ND5	4540
TXK	7294
SH3BP5	9467
TNIK	23043
PLEKHB1	58473
PDCD2	5134
SLC7A6	9057
STT3B	201595
UBALD2	283991
N4BP2L2	10443
PLCG1	5335
SOCS2	8835
CAPZB	832
NBPF15	284565
TCEA3	6920
TRIR	79002
UPP1	7378
RNASET2	8635
CSDE1	7812
CLNS1A	1207
TMA7	51372
SMAP2	64744
TMEM106B	54664
HELB	92797
ANK3	288
ATP5MC2	517
LTA	4049
CFAP36	112942
PPP1CC	5501
DUT	1854
IMP3	55272
SORL1	6653
CDC14A	8556
ADTRP	84830
ARL6IP4	51329
HNRNPF	3185
CCT8	10694
TRAV8-2	28684
THAP11	57215
LPAR6	10161
PTGES3	10728
NELL2	4753
TRIM22	10346
HMGN1	3150
MAP4K2	5871
PDE7A	5150
RNF126	55658
KHDRBS1	10657
EMP3	2014
PVT1	5820
YWHAB	7529
FBLN5	10516
LRRN3	54674
IL10RA	3587
SF3A1	10291
MDS2	259283
MKRN1	23608
CRIP1	1396
XBP1	7494
LINC00402	100507612
SLC44A2	57153
SHISAL2A	348378
ARHGEF1	9138
SCML4	256380
ATP5F1A	498
PTDSS1	9791
PA2G4	5036
EPB41L4A-AS1	114915
FXYD1	5348
EID1	23741
PPIA	5478
GRAP2	9402
CLPP	8192
SLFN5	162394
APBB1	322
FLI1	2313
DBP	1628
HBB	3043
GALT	2592
TNFSF10	8743
ATM	472
BUB3	9184
HAPLN3	145864
PHF1	5252
NIPAL3	57185
CDKN1B	1027
ID3	3399
MRFAP1L1	114932
GOLGA8B	440270
ISCU	23479
TUBB	203068
ABRACL	58527
MPHOSPH8	54737
MED10	84246
ESYT1	23344
ATIC	471
NOL7	51406
RNF214	257160
ATP8B2	57198
SLC25A3	5250
CNOT7	29883
FXYD7	53822
ZFAND1	79752
USP10	9100
ARHGAP45	23526
MT-ATP8	4509
IL2RA	3559
TPR	7175
S100A10	6281
RASSF5	83593
SLC40A1	30061
RTRAF	51637
TNFAIP8L2	79626
C9orf78	51759
HAX1	10456
PRKCH	5583
NME3	4832
TMEM238	388564
DDX18	8886
ANXA6	309
HLA-E	3133
CCDC66	285331
DEF6	50619
GORASP2	26003
TNFRSF14	8764
HIVEP2	3097
LINC00243	401247
CD7	924
VSIR	64115
ILF3-DT	147727
RBM4	5936
PPDPF	79144
CITED4	163732
IL2RG	3561
CNIH1	10175
COX7A2L	9167
RGCC	28984
AIP	9049
ANKRD55	79722
RORA	6095
FDFT1	2222
VSIG1	340547
FOXP3	50943
TNFSF12	8742
MPRIP	23164
OXLD1	339229
RBMX	27316
ZRANB2	9406
ARL14EP	120534
PI16	221476
CCT7	10574
BACH2	60468
KLHDC2	23588
SNX20	124460
RAD21	5885
GLOD4	51031
LRP10	26020
MIF	4282
CCT3	7203
ATP5F1D	513
RSBN1	54665
MRPS34	65993
MGAT4A	11320
SUMO2	6613
CCDC88C	440193
TMEM35B	100506144
SH2D3A	10045
XRCC6	2547
FOXO1	2308
LSR	51599
IPCEF1	26034
CBLL1	79872
RRP1B	23076
CD47	961
NMT2	9397
UBASH3A	53347
NDUFA12	55967
MRPS18B	28973
ODF2L	57489
TES	26136
RGS14	10636
ACTN1	87
VIPR1	7433
SECISBP2	79048
CIRBP	1153
CA5B	11238
TAF10	6881
SIRPG	55423
CRTC3	64784
DHPS	1725
PTPRC	5788
DCK	1633
GABPB1-AS1	100129387
HNRNPDL	9987
PSME1	5720
SET	6418
SF3A2	8175
TRAV13-1	28671
STAT5B	6777
NSG1	27065
EDF1	8721
ZBTB25	7597
ATP5MG	10632
IKBKE	9641
MAST4	375449
CCND2	894
AKTIP	64400
RPA2	6118
CASP6	839
RBM38	55544
RASSF7	8045
MRPS26	64949
RBBP6	5930
SAMHD1	25939
FHL1	2273
PCSK7	9159
SLC25A45	283130
CCR4	1233
LIX1L	128077
TIAM1	7074
ZNF33B	7582
TRAM1	23471
SYPL1	6856
MAML2	84441
NCK2	8440
NBDY	550643
CAMK2G	818
KLF12	11278
OLFM2	93145
HABP4	22927
PCSK1N	27344
RPS6KA5	9252
NT5DC1	221294
SGTB	54557
CASP8	841
ABRAXAS1	84142
DAP3	7818
EMB	133418
SYF2	25949
EIF3I	8668
KIAA0040	9674
SRSF5	6430
TRBV20-1	28567
TRAV9-2	28677
CDKN2D	1032
PIGC	5279
IK	3550
ATF7IP2	80063
LUC7L3	51747
MAD1L1	8379
DDB2	1643
ITGB7	3695
SGF29	112869
MARCKSL1	65108
SPTBN1	6711
SVIP	258010
DPYD	1806
NAAA	27163
SLC2A4RG	56731
ABT1	29777
TBC1D10A	83874
PIK3CD	5293
MXI1	4601
NLRC3	197358
DDX24	57062
CNPPD1	27013
THAP7	80764
ELOVL5	60481
TNFRSF10A	8797
AK5	26289
TBC1D4	9882
UBIAD1	29914
THEMIS	387357
ADH5	128
NMRK1	54981
ZNF107	51427
UBAC2	337867
ASF1A	25842
EIF4E3	317649
NSMCE1	197370
GRAMD1A	57655
GOLGA7	51125
MRPS24	64951
RTKN2	219790
LCP2	3937
PRKX	5613
SELENOM	140606
MALT1	10892
CEP57	9702
PPP3CC	5533
LY9	4063
NOB1	28987
SRSF1	6426
MRPL34	64981
LGALS3BP	3959
PATJ	10207
TMEM131L	23240
LIMS2	55679
BNIP3	664
LINC01089	338799
MTERF4	130916
HNRNPL	3191
NPAT	4863
PPM1G	5496
GRAP	10750
FAM89B	23625
FBXL8	55336
PACS1	55690
NDE1	54820
NAE1	8883
TMEM191C	645426
DDT	1652
PXN	5829
MID1IP1	58526
SNU13	4809
UGP2	7360
COX6C	1345
ZNF493	284443
PITPNA-AS1	100306951
USP15	9958
MAP3K1	4214
ZNF302	55900
PPP1R35	221908
HMGN4	10473
SSU72	29101
PYGO2	90780
ST6GAL1	6480
CEP68	23177
SNAI3	333929
EDA	1896
NDUFB11	54539
PKIA	5569
HPCAL1	3241
ATP5PD	10476
PSMA1	5682
DNAJC19	131118
NOA1	84273
ING4	51147
MORC2	22880
CD82	3732
ISYNA1	51477
HDAC1	3065
FBXL16	146330
TRBV19	28568
G3BP1	10146
TRAV8-3	28683
CDC42SE1	56882
ANXA7	310
SERP1	27230
SUMF2	25870
TMEM156	80008
TMEM203	94107
RAP1A	5906
ACSL6	23305
NHP2	55651
PCNP	57092
SNRPF	6636
C12orf76	400073
NIPSNAP1	8508
ACTR1B	10120
GCSAM	257144
THYN1	29087
STK24	8428
PPWD1	23398
TRBV7-2	28596
CMTM7	112616
F5	2153
SSBP1	6742
GPR171	29909
TSR2	90121
TRABD	80305
CYB561D1	284613
CBFB	865
COX11	1353
EIF3J-DT	645212
FUT7	2529
UBA2	10054
SOCS1	8651
CHD7	55636
MBNL1	4154
ICOS	29851
HIGD2A	192286
TBCA	6902
PSMC5	5705
SRM	6723
CEBPZOS	100505876
ITGB2-AS1	100505746
VAMP2	6844
SMYD2	56950
U2AF1L4	199746
NR1D1	9572
ITFG2	55846
ANKRD49	54851
SUPT20H	55578
GMPS	8833
CDR2	1039
B2M	567
STN1	79991
PPP1R3E	90673
GPX7	2882
PECR	55825
TFAP4	7023
FBXO3	26273
PLCL1	5334
CCDC85B	11007
CD320	51293
SSB	6741
MPI	4351
DAXX	1616
CHD3	1107
SFI1	9814
PPP1R3F	89801
STX17	55014
C11orf58	10944
SPSB3	90864
HEBP2	23593
NOL11	25926
KAT8	84148
REST	5978
SVIL	6840
TTC14	151613
PNPLA2	57104
SHISA5	51246
SSRP1	6749
PAFAH1B3	5050
UBE2V1	7335
TRIB2	28951
OCIAD1	54940
CAPN2	824
HDHD3	81932
HNRNPUL1	11100
OLA1	29789
LDOC1	23641
RASSF3	283349
ORMDL3	94103
USP3	9960
HTATSF1	27336
FAM50B	26240
CARMIL2	146206
MYL12B	103910
ZNF737	100129842
GRSF1	2926
ST3GAL1	6482
ESD	2098
PMPCB	9512
DIMT1	27292
SIGMAR1	10280
SMIM26	388789
ERAP2	64167
TMEM14B	81853
NOG	9241
PLCD1	5333
NGRN	51335
PDCD4-AS1	282997
TMEM116	89894
SINHCAF	58516
CEACAM21	90273
SDAD1	55153
ADAM19	8728
KLF3	51274
NAP1L1	4673
RSAD1	55316
LINC00957	255031
CBX7	23492
SPN	6693
TRAP1	10131
SUPT3H	8464
CBR3	874
TSPAN18	90139
RCC1	1104
PRIM1	5557
STAMBPL1	57559
SNRNP40	9410
ENO2	2026
DNAJA3	9093
TCP11L2	255394
TRBV28	28559
PAQR8	85315
CCT4	10575
SERGEF	26297
ZNHIT3	9326
TRAV4	28689
GPHN	10243
NUDCD2	134492
SRSF4	6429
FAM162A	26355
FLOT2	2319
SLC9A3	6550
TCAF2	285966
DALRD3	55152
ABTB1	80325
DOCK10	55619
NME2	4831
DGKE	8526
STYX	6815
LPAR2	9170
HNRNPA0	10949
TRIM73	375593
PDCD7	10081
WWP1	11059
ZFP90	146198
PBX4	80714
ZNF563	147837
SDHA	6389
TRNT1	51095
RNPS1	10921
TRAF1	7185
MRPS33	51650
RNF187	149603
TRAK2	66008
POLR1E	64425
LINC01215	101929623
AKT3	10000
HADHA	3030
ECHDC2	55268
BRD7	29117
AMMECR1	9949
SLC25A38	54977
LRIG1	26018
MRPL38	64978
ZNF414	84330
SFMBT1	51460
FAAH2	158584
ZNF708	7562
MRPL57	78988
ELMO1	9844
TRBV5-1	28614
AGMAT	79814
ZNF766	90321
NOL9	79707
MEI1	150365
DNMT1	1786
MEOX1	4222
CEACAM1	634
TRAV8-6	28680
ZNF524	147807
LINC02361	100996246
RHNO1	83695
DEXI	28955
TFB1M	51106
DOCK9	23348
PHF11	51131
HNRNPK	3190
REX1BD	55049
PQBP1	10084
PASK	23178
HMGB2	3148
PTP4A3	11156
ADPRM	56985
HSD17B11	51170
PDCD5	9141
NDUFV2	4729
CNOT8	9337
EAPP	55837
ATPAF1	64756
ANAPC5	51433
PEX16	9409
GPR15	2838
ZNF138	7697
HOXB2	3212
TBRG1	84897
LTBP4	8425
DMAC1	90871
ERCC5	2073
PLD6	201164
CCR6	1235
UBA3	9039
CLUAP1	23059
CBFA2T2	9139
RGL4	266747
PDK1	5163
LINC00324	284029
FADD	8772
TUT4	23318
TSC22D4	81628
LINC00954	400946
GDI1	2664
ING5	84289
NDRG3	57446
SF3A3	10946
MMP25-AS1	100507419
THRA	7067
NUDT16L1	84309
TRIM52	84851
CMTM3	123920
ATP5PB	515
BEX4	56271
ADORA2A	135
DGKZ	8525
EIF5A	1984
MAP4K1	11184
PGS1	9489
INTS10	55174
VDAC2	7417
TRBC1	28639
CYB561	1534
PRPF19	27339
RNF220	55182
TRAV29DV5	28653
CORO2A	7464
LSM14A	26065
ISCA2	122961
CUTC	51076
MRPS27	23107
MSL3	10943
RNF144A	9781
FNBP4	23360
EIF2D	1939
UBL4A	8266
TRAV13-2	28670
UBE2N	7334
BET1L	51272
OGT	8473
UBE2I	7329
ATG9B	285973
S100A4	6275
TRAV8-4	28682
SSBP4	170463
COX14	84987
TMEM223	79064
TRBV18	28569
CBX3	11335
ARFRP1	10139
TAF9B	51616
DENND1C	79958
GPA33	10223
CNOT11	55571
JADE2	23338
CCM2	83605
VBP1	7411
GPRIN3	285513
TTC9	23508
TMC6	11322
EXOSC8	11340
DAD1	1603
MRPL58	3396
MRPS35	60488
ZNF44	51710
ZNF430	80264
COQ8A	56997
RNF157	114804
PRPS1	5631
FBXL3	26224
RRS1	23212
LINC01943	101928173
IL4R	3566
ELK1	2002
METTL5	29081
DPH5	51611
LINC00426	100188949
GOLGA8A	23015
ERH	2079
KPNA5	3841
MRPS2	51116
ZNF506	440515
IL23A	51561
ORC5	5001
ESYT2	57488
MAGEH1	28986
SUCLG2	8801
CASP8AP2	9994
ORMDL1	94101
GNB5	10681
ZMAT2	153527
GGT7	2686
ERN1	2081
ERGIC2	51290
IGSF8	93185
ASTE1	28990
NDUFS5	4725
SNAP47	116841
SYNGAP1	8831
LAIR2	3904
PCMTD2	55251
NKTR	4820
IL17RA	23765
POLR2C	5432
SDHAF3	57001
PHTF2	57157
RASA2	5922
PRPF8	10594
LPCAT4	254531
METTL26	84326
ACYP1	97
SHMT2	6472
ERG28	11161
METTL9	51108
PLCL2	23228
ACTL6A	86
CLDND1	56650
DYRK2	8445
BBS2	583
RANBP1	5902
TUFM	7284
CTC1	80169
SRSF11	9295
TRAV26-1	28657
MRNIP	51149
PSMG2	56984
RNF113A	7737
ZFP14	57677
NCL	4691
PPHLN1	51535
C15orf40	123207
FAS	355
METTL23	124512
RFC1	5981
DEAF1	10522
SRSF10	10772
TRAV3	28690
ACAT2	39
YDJC	150223
SLC35E2A	9906
NONO	4841
MAP7D1	55700
ZNF91	7644
METTL17	64745
WDR43	23160
BDH1	622
CCNDBP1	23582
MFHAS1	9258
WBP2	23558
LINC01891	105373934
SDHD	6392
CHTF8	54921
TAF1D	79101
CASK	8573
UQCRFS1	7386
KLHL22	84861
RARG	5916
RMND5B	64777
MRPL43	84545
MTA2	9219
RELL2	285613
HSBP1L1	440498
ARL2BP	23568
SLC35G1	159371
PHF3	23469
VAMP4	8674
SORBS3	10174
FAM200A	221786
APOL3	80833
CIB1	10519
TRBV2	28620
MRPL9	65005
SDHAF1	644096
BTN3A2	11118
ANKZF1	55139
LINC00667	339290
ANKRA2	57763
PDCD6	10016
MYH9	4627
NDUFC1	4717
UBTF	7343
MRPS31	10240
TRDMT1	1787
TMCO6	55374
TRAV22	28661
IKZF4	64375
HDAC7	51564
TAB2	23118
ZNF146	7705
CPTP	80772
USP53	54532
CAMKMT	79823
MRPL45	84311
PCYOX1L	78991
NEFL	4747
RBM48	84060
DNLZ	728489
PPBP	5473
DNAJA2	10294
DDX6	1656
MANEA-DT	101927288
NOP14	8602
LINC01806	100996579
RBL1	5933
GHITM	27069
PRKAR1B	5575
TRAV21	28662
ZNF540	163255
RWDD1	51389
ARHGAP4	393
NUAK2	81788
NOP2	4839
CRYZL1	9946
DGUOK	1716
TMEM177	80775
BRIX1	55299
RAB4A	5867
POLR3GL	84265
RNF34	80196
MOAP1	64112
XPC	7508
APOLD1	81575
ANKRD36B	57730
IMMP2L	83943
TSC22D3	1831
DIDO1	11083
PLEKHA1	59338
DPH1	1801
GBP2	2634
USP20	10868
MRI1	84245
THUMPD3-AS1	440944
CDC26	246184
NLRP1	22861
NME4	4833
SDR39U1	56948
AGFG2	3268
ASXL1	171023
THAP4	51078
TCEAL8	90843
SHLD1	149840
STAT1	6772
SP140L	93349
PCID2	55795
FAM153A	285596
STUB1	10273
HSF2	3298
GSKIP	51527
FBXO21	23014
SULT1B1	27284
PTPRA	5786
SPIN2B	474343
GPRASP1	9737
RUVBL1	8607
TP53TG1	11257
TRBV6-5	28602
DCP1B	196513
CNPY4	245812
RAB3IP	117177
C1GALT1C1	29071
DCXR	51181
RWDD3	25950
MTRR	4552
PRPS2	5634
TTC32	130502
GTPBP6	8225
OTUB1	55611
GTPBP10	85865
ANO9	338440
ZNF32	7580
PLPP6	403313
ABCC1	4363
ATXN7L1	222255
APBA3	9546
GPR146	115330
PEX11B	8799
WDR54	84058
PNRC1	10957
AEN	64782
C14orf119	55017
TRAV27	28655
TMED4	222068
JAK1	3716
TTC3	7267
TRAF3IP2	10758
NIFK	84365
HTATIP2	10553
INPP5K	51763
ST6GALNAC1	55808
ZNF292	23036
CD44	960
GPR155	151556
BZW2	28969
ZNF512	84450
RPS27L	51065
JAGN1	84522
ATP6V1E2	90423
MINK1	50488
EPS8L2	64787
TRAV6	6956
STX16	8675
XRN2	22803
PRKAG2-AS1	100505483
NEIL2	252969
ZNF444	55311
ULK3	25989
PRH1	5554
SIN3A	25942
NSUN5	55695
MRPL50	54534
PAICS	10606
TRAV12-3	28672
CCAR2	57805
ABCD2	225
TRIM35	23087
SLFN12L	100506736
AFAP1	60312
BOLA3	388962
OR4D1	26689
MSI2	124540
NFKB1	4790
LSM5	23658
CD200R1	131450
TTC39C-AS1	102724246
MDN1	23195
RPUSD2	27079
TJP3	27134
THUMPD1	55623
UBE2Q2	92912
PGM2L1	283209
SMPD1	6609
FAM200B	285550
SMAP1	60682
URM1	81605
FRA10AC1	118924
ZNF276	92822
TRBV6-2	28605
NIFK-AS1	254128
TBP	6908
RELA	5970
KBTBD4	55709
LRBA	987
EPHA1-AS1	285965
MEAF6	64769
CDC37	11140
XPA	7507
HNRNPH3	3189
LCLAT1	253558
DEFA3	1668
SLC2A11	66035
EXOG	9941
TRAV23DV6	28660
C5orf63	401207
CASP2	835
FARS2	10667
HPCAL4	51440
CCDC91	55297
ERAP1	51752
XRCC5	7520
TAF3	83860
NR2C2AP	126382
CPSF6	11052
AIDA	64853
LINC00920	100505865
KRT73-AS1	100127967
PYM1	84305
TRBV3-1	28619
NT5C3A	51251
NAA80	24142
ZNF507	22847
RASGRF2	5924
NELFA	7469
HKDC1	80201
RPIA	22934
FANCF	2188
RBM43	375287
IRF3	3661
CCNQ	92002
SUB1	10923
PCIF1	63935
PHC3	80012
ENOPH1	58478
C15orf61	145853
RGP1	9827
AKAP7	9465
TRAV16	28667
EPHB6	2051
MDH1	4190
TMEM230	29058
PDS5A	23244
RPA1	6117
TLK1	9874
TMEM65	157378
TTTY15	64595
ZNF75A	7627
WNT7A	7476
TRANK1	9881
EPHA4	2043
MINCR	100507316
MT-ND3	4537
CCL28	56477
MVP	9961
FYN	2534
PYCR2	29920
SNHG21	100505616
ZNF277	11179
MRPL16	54948
WDR77	79084
BLOC1S5	63915
EXOSC1	51013
PTOV1	53635
PNMA1	9240
KLHL36	79786
PIAS1	8554
USP21	27005
GMPR2	51292
TNIP1	10318
AGAP2	116986
SMARCC1	6599
RRM1	6240
TNFRSF18	8784
ZNF253	56242
AKIRIN1	79647
TMEM18	129787
NOC2L	26155
TRIM4	89122
PRAF2	11230
LANCL1	10314
METTL18	92342
TRAV2	28691
WDR75	84128
TRAV17	28666
LINC02210-CRHR1	104909134
ZNF429	353088
PIH1D1	55011
SNHG10	283596
MED15	51586
ATXN7L3B	552889
KYAT3	56267
TTN	7273
HOOK1	51361
COMTD1	118881
CAMLG	819
SMAD3	4088
TMEM187	8269
ACTR6	64431
CLK4	57396
CLYBL	171425
ETFRF1	144363
VILL	50853
MEGF6	1953
ELMOD3	84173
NHEJ1	79840
DGCR2	9993
CXCR3	2833
TRBV10-3	28583
CCSER2	54462
DNAJC9	23234
TTN-AS1	100506866
DCAF15	90379
AMIGO1	57463
TIMM9	26520
ZNF880	400713
NDUFV2-AS1	101927275
BBC3	27113
MAPKAPK3	7867
MPHOSPH10	10199
MPP7	143098
SNHG22	103091864
TRAV35	28647
ZNF639	51193
FMC1	154791
PARP16	54956
THAP1	55145
SEPHS2	22928
PEX6	5190
MICU2	221154
TMEM87B	84910
ASNSD1	54529
RAB33A	9363
TASP1	55617
NGDN	25983
ACD	65057
EEFSEC	60678
RHPN1	114822
RPRD2	23248
APBA2	321
SERBP1	26135
TMEM25	84866
ADI1	55256
URGCP	55665
TRAV14DV4	28669
POLH	5429
COA6	388753
SENP7	57337
GGNBP2	79893
TBRG4	9238
HNRNPLL	92906
SP100	6672
CDHR3	222256
MED28	80306
KHDC4	22889
OARD1	221443
NCOR1	9611
HAGH	3029
SRPK2	6733
TECPR1	25851
ZCCHC7	84186
TRBV7-9	28589
LMO7	4008
INTS5	80789
ITPKB	3707
LYRM7	90624
C21orf91	54149
MMS19	64210
CHST7	56548
POLL	27343
EIF1AY	9086
MTRNR2L12	100463498
NUP43	348995
PJA1	64219
ARID4B	51742
C19orf25	148223
CEP120	153241
SUCLA2	8803
TUBD1	51174
FAM13A	10144
EDEM3	80267
SNHG25	105376843
ZNF287	57336
MFGE8	4240
TXLNG	55787
PGGHG	80162
GIMAP8	155038
RIOX1	79697
MED7	9443
SRPK1	6732
WTAP	9589
ATRIP	84126
PRPSAP2	5636
NAPEPLD	222236
INTS13	55726
RGMB	285704
CYSLTR1	10800
ENOSF1	55556
KMT2A	4297
SLC37A3	84255
FOXJ3	22887
TSPAN32	10077
LRRC8D	55144
ZNF141	7700
CARD11	84433
DDX54	79039
QTRT1	81890
DNAAF2	55172
SYNJ2	8871
MSH2	4436
MITD1	129531
HNRNPD	3184
GDI2	2665
